name,salary_from,salary_to,salary_currency,area_name,published_at
Стажер UX/UI-дизайнер,15000,,RUR,Санкт-Петербург,2022-12-25T10:51:56+0300
Руководитель проектов,200000,,RUR,Москва,2022-12-25T10:45:14+0300
UX/UI дизайнер-стажер,15000,,RUR,Новокузнецк,2022-12-25T10:51:29+0300
Дизайнер,25000,35000,RUR,Барнаул,2022-12-25T10:30:43+0300
QA web,,,,Москва,2022-12-25T09:43:48+0300
Инженер-программист микроконтроллеров (STM32),140000,,RUR,Москва,2022-12-25T09:58:54+0300
Владелец Продукта / Product Owner,,5000,USD,Москва,2022-12-25T10:11:49+0300
Заместитель главного редактора,,,,Севастополь,2022-12-25T01:39:29+0300
Оператор камнеобрабатывающего станка,1500,2500,BYR,Минск,2022-12-25T11:29:10+0300
Специалист технической поддержки,55000,,RUR,Тверь,2022-12-25T08:08:09+0300
Руководитель проектов / Коммерческий директор / Директор по развитию,80000,,RUR,Нижний Новгород,2022-12-25T11:22:10+0300
Backend-разработчик Django,,,,Астана,2022-12-25T08:40:57+0300
Водитель-оператор (вендинг),45000,70000,RUR,Москва,2022-12-25T08:41:29+0300
Программист-разработчик,40000,,RUR,Обнинск,2022-12-25T11:58:50+0300
Frontend developer / Фронтенд разработчик / Web3 developer,,5000,USD,Москва,2022-12-25T10:11:49+0300
QA mob специалист,,,,Москва,2022-12-25T09:43:45+0300
Системный администратор,200000,200000,KZT,Костанай,2022-12-25T09:42:57+0300
Frontend разработчик (Vue.js),90000,,RUR,Иркутск,2022-12-25T07:33:36+0300
Дизайнер-печатник/помощник дизайнера,150000,,KZT,Алматы,2022-12-25T08:39:26+0300
PHP-разработчик,,,,Москва,2022-12-25T07:24:46+0300
Заместитель руководителя группы заказной разработки ПО,180000,400000,RUR,Волгоград,2022-12-25T08:54:44+0300
Руководитель проекта,150000,150000,RUR,Москва,2022-12-25T11:36:22+0300
Project Manager / Руководитель проектов / Менеджер проекта,,,,Москва,2022-12-25T10:11:49+0300
Дизайнер интерьера,150000,,KZT,Шымкент,2022-12-25T11:58:15+0300
Художник-преподаватель в студию рисования,50000,75000,RUR,Красная Поляна,2022-12-25T00:01:39+0300
Руководитель отдела управления НСИ (MDM),200000,,RUR,Екатеринбург,2022-12-25T10:04:22+0300
"Android-разработчик (Лента, ВКонтакте)",,,,Москва,2022-12-25T10:48:54+0300
"ЧПУ Фрезеровщик (наладчик-оператор, металл) / ученик",60000,80000,RUR,Симферополь,2022-12-25T07:21:13+0300
Бизнес Системный аналитик / Business System Analyst,,,,Москва,2022-12-25T10:11:50+0300
Дизайнер/Офис менеджер/Оператор ПК,10000,15000,RUR,Ростов-на-Дону,2022-12-25T11:10:38+0300
Специалист технического обслуживания/Техник,40000,70000,RUR,Санкт-Петербург,2022-12-25T09:02:34+0300
Middle/Middle+ Программист Embedded С,,,,Минск,2022-12-25T10:49:23+0300
Монтажник ВОЛС,70000,,RUR,Сыктывкар,2022-12-25T11:28:36+0300
Мастер по ремонту телефонов и планшетов,40000,70000,RUR,Новосибирск,2022-12-25T07:26:33+0300
Специалист технической поддержки и электронного документооборота,,,,Москва,2022-12-25T08:10:02+0300
Technical Leader / Tech Lead,,6500,USD,Москва,2022-12-25T10:11:50+0300
Системный аналитик,,,,Москва,2022-12-25T10:55:43+0300
Системный инженер Linux,,,,Москва,2022-12-25T08:52:28+0300
Начальник бригады систем управления контентом,50000,,RUR,Пермь,2022-12-25T09:42:56+0300
Оператор печатных машин в оперативной полиграфии/дизайнер,30000,,RUR,Омск,2022-12-25T04:14:41+0300
"Сотрудник послепродажного сопровождения клиентов (промышленное оборудование), г.Люберцы",60000,,RUR,Москва,2022-12-25T10:40:58+0300
Авиационный механик службы перронного обеспечения воздушных судов,45000,,RUR,Сургут,2022-12-25T09:42:34+0300
Site Reliability Engineer,,,,Пермь,2022-12-25T08:11:15+0300
Главный механик на строящийся завод по регенерации отработанных масел,100000,,RUR,Армавир,2022-12-25T09:42:52+0300
Наладчик КИПиА,27900,,RUR,Барнаул,2022-12-25T10:49:23+0300
Системный аналитик,70000,,RUR,Екатеринбург,2022-12-25T08:11:16+0300
Разработчик Bitrix24,,,,Москва,2022-12-25T10:05:13+0300
